asin,title,imgUrl,productURL,stars,reviews,price,listPrice,sub_category_id,isBestSeller,boughtInLastMonth
B08XYQXWRX,"8 Pack Straight Sublimation Tumblers bulk 20 oz Skinny,Stainless Steel Double Wall Insulated Tumbler Cups Blank White with Lid, Straw, Individually Boxed,Polymer Coating for Heat Transfer",https://m.media-amazon.com/images/I/61Ls0-YaBLL._AC_UL320_.jpg,https://www.amazon.com/dp/B08XYQXWRX,4.7,3229,35.99,39.99,4,False,2000
B08NVF2MMF,PYD Life Sublimation Blanks Skinny Tumbler White 20 OZ Straight Stainless Steel Tumbler with Metal Straw for Mug Tumbler Heat Press Machine Sublimation Printing 4 Pack,https://m.media-amazon.com/images/I/51zW4sJQeTL._AC_UL320_.jpg,https://www.amazon.com/dp/B08NVF2MMF,4.8,3247,32.76,0.0,4,False,2000
B0C1S5QT44,"HTVRONT Sublimation HTV for Dark Fabric/Light Fabric - Matte Sublimation Vinyl 12"" X 5FT - Sublimation Blanks for Sublimation Shirts/Bag/Hat/Pillow…",https://m.media-amazon.com/images/I/51cqjdybfGL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C1S5QT44,4.6,182,11.99,0.0,4,False,3000
B07YDNKSH6,"4-Inch Rubber Brayer Roller for Printmaking, Great for Gluing Application Also. (Original Version)",https://m.media-amazon.com/images/I/61go-tTwlQL._AC_UL320_.jpg,https://www.amazon.com/dp/B07YDNKSH6,4.7,7404,7.99,10.99,4,False,2000
B07VKPZS24,"Cricut EasyPress Mini Heat Press for Pressing Small Objects like Shoes, Stuffed Animals, Hats & More, 3 Heat Settings & Precision Tip, Ceramic-Coated Heat Plate, Compact & Lightweight, Raspberry",https://m.media-amazon.com/images/I/61wtIEveKNL._AC_UL320_.jpg,https://www.amazon.com/dp/B07VKPZS24,4.8,32987,49.0,69.99,4,False,1000
B00LJV1JK4,"Cricut Premium Fine-Point Replacement Blade, Cutting Blade with Improved Design, Cuts Light to Mid-Weight Materials, For Personalized Crafts, Compatible Maker & Explore Machines, 1 Count",https://m.media-amazon.com/images/I/71BJfvkHNaL._AC_UL320_.jpg,https://www.amazon.com/dp/B00LJV1JK4,4.8,0,5.69,14.99,5,True,3000
B0BHL2CPHX,"Photo Album Self Adhesive with Picture Display Window,40 Pages DIY Scrapbook Album for 4x6-8x10 Picture,Linen Cover Memory Book for Wedding Family, with Scraper and Metallic Pen",https://m.media-amazon.com/images/I/81IprYC1y9L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BHL2CPHX,4.7,0,17.99,19.99,5,True,2000
B07Y73ZNYG,8 Colors Rainbow Washable Large Ink Pads for Rubber Stamps Kids (Pack of 8),https://m.media-amazon.com/images/I/81uGh4Y56PL._AC_UL320_.jpg,https://www.amazon.com/dp/B07Y73ZNYG,4.0,0,19.97,0.0,5,False,0
B09D72MCYK,"1200Pcs Paper Fasteners Kit 5 Sizes Brads Round Fasteners Metal Paper Fasteners Brass Plated Brads Fasteners for Scrapbooking Crafts DIY Paper(Gold, Silver, Bronze, Black)",https://m.media-amazon.com/images/I/81pDBOcf5DL._AC_UL320_.jpg,https://www.amazon.com/dp/B09D72MCYK,4.9,0,17.97,0.0,5,False,0
B07Q1NGPV9,"Ink Pads for Rubber Stamps, Rubber Stamps Pads- Permanent, Waterproof, Stamp Pads for Card Making, Scrapbooking Supplies, Christmas Ink Stamps, Hand Stamp Ink Pad, Non-Toxic (5 Ink Pad Bundles)",https://m.media-amazon.com/images/I/71z8I8MheRL._AC_UL320_.jpg,https://www.amazon.com/dp/B07Q1NGPV9,4.2,0,37.99,0.0,5,False,0
